,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
80,tpar,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,44.0,22.0,8.0,52.0,0.1,0.0,-0.06669116020202637,2.0
81,voqc,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,69.0,35.0,8.0,77.0,0.1,0.0,-0.10342907905578613,2.0
82,qfast,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,30.0,47.0,42.0,72.0,0.1,0.0,-4.566798448562622,10.0
83,pyzx,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,25.0,20.0,8.0,33.0,0.1,0.0,-0.05724692344665527,8.0
84,default,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,61.0,29.0,17.0,78.0,0.1,0.0,-4.76837158203125e-07,4.0
85,tket,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,32.0,19.0,5.0,37.0,0.1,0.0,-0.048505306243896484,4.0
86,qiskit,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,61.0,29.0,17.0,78.0,0.1,0.0,-0.01776576042175293,4.0
87,tpar,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,54.0,26.0,5.0,59.0,0.1,0.0,-0.07171320915222168,14.0
88,voqc,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,70.0,34.0,5.0,75.0,0.1,0.0,-0.10415792465209961,4.0
89,qfast,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,42.0,61.0,58.0,100.0,0.1,0.0,-8.57558012008667,14.0
90,pyzx,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,34.0,23.0,5.0,39.0,0.1,0.0,-0.06038928031921387,15.0
91,default,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,63.0,33.0,17.0,80.0,0.1,0.0,-4.76837158203125e-07,5.0
92,tket,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,34.0,19.0,9.0,43.0,0.1,0.0,-0.10921597480773926,3.0
93,qiskit,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,61.0,31.0,17.0,78.0,0.1,0.0,-0.0163114070892334,3.0
94,tpar,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,46.0,24.0,9.0,55.0,0.1,0.0,-0.06721711158752441,3.0
95,voqc,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,88.0,43.0,9.0,97.0,0.1,0.0,-0.10788249969482422,3.0
96,qfast,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,21.0,36.0,29.0,50.0,0.1,0.0,-1.6619200706481934,7.0
97,pyzx,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,22.0,14.0,9.0,31.0,0.1,0.0,-0.057702064514160156,4.0
98,default,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,80.0,33.0,12.0,92.0,0.1,0.0,-7.152557373046875e-07,3.0
99,tket,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,28.0,15.0,6.0,34.0,0.1,0.0,-0.10972142219543457,3.0
100,qiskit,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,80.0,33.0,12.0,92.0,0.1,0.0,-0.018697261810302734,3.0
101,tpar,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,55.0,24.0,8.0,63.0,0.1,0.0,-0.06908988952636719,5.0
102,voqc,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,93.0,41.0,8.0,101.0,0.1,0.0,-0.10885429382324219,3.0
103,qfast,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,15.0,26.0,23.0,38.0,0.1,0.0,-2.146388053894043,5.0
104,pyzx,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,27.0,23.0,6.0,33.0,0.1,0.0,-0.060228824615478516,11.0
105,default,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,69.0,38.0,13.0,82.0,0.1,0.0,-4.76837158203125e-07,5.0
106,tket,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,35.0,23.0,7.0,42.0,0.1,0.0,-0.11240124702453613,5.0
107,qiskit,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,69.0,38.0,13.0,82.0,0.1,0.0,-0.017635822296142578,5.0
108,tpar,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,61.0,39.0,9.0,70.0,0.1,0.0,-0.07257413864135742,15.0
109,voqc,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,95.0,56.0,9.0,104.0,0.1,0.0,-0.10985445976257324,5.0
110,qfast,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,57.0,67.0,73.0,130.0,0.1,0.0,-9.69980239868164,19.0
