,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
35,default,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,71.0,33.0,13.0,84.0,0.1,0.0,-4.76837158203125e-07,3.0
36,tket,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,29.0,17.0,5.0,34.0,0.1,0.0,-0.04886937141418457,3.0
37,qiskit,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,71.0,33.0,13.0,84.0,0.1,0.0,-0.015855073928833008,3.0
38,tpar,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,53.0,24.0,5.0,58.0,0.1,0.0,-0.06816315650939941,7.0
39,voqc,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,70.0,45.0,5.0,75.0,0.1,0.0,-0.10211038589477539,3.0
40,qfast,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,18.0,25.0,26.0,44.0,0.1,0.0,-1.8931858539581299,6.0
41,pyzx,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,18.0,18.0,5.0,23.0,0.1,0.0,-0.11873292922973633,7.0
42,default,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,64.0,33.0,14.0,78.0,0.1,0.0,-9.5367431640625e-07,1.0
43,tket,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,20.0,13.0,4.0,24.0,0.1,0.0,-0.046236276626586914,1.0
44,qiskit,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,64.0,33.0,14.0,78.0,0.1,0.0,-0.014589309692382812,1.0
45,tpar,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,27.0,16.0,4.0,31.0,0.1,0.0,-0.06251335144042969,1.0
46,voqc,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,45.0,33.0,4.0,49.0,0.1,0.0,-0.09415316581726074,1.0
47,qfast,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,15.0,28.0,21.0,36.0,0.1,0.0,-3.2295093536376953,5.0
48,pyzx,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,16.0,10.0,4.0,20.0,0.1,0.0,-0.0529172420501709,2.0
49,default,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,70.0,35.0,14.0,84.0,0.1,0.0,-9.5367431640625e-07,6.0
50,tket,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,42.0,22.0,8.0,50.0,0.1,0.0,-0.05115032196044922,6.0
51,qiskit,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,70.0,35.0,14.0,84.0,0.1,0.0,-0.018549680709838867,6.0
52,tpar,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,71.0,37.0,8.0,79.0,0.1,0.0,-0.07446742057800293,14.0
53,voqc,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,83.0,46.0,8.0,91.0,0.1,0.0,-0.10778331756591797,6.0
54,qfast,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,42.0,51.0,58.0,100.0,0.1,0.0,-11.170022249221802,14.0
55,pyzx,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,43.0,32.0,8.0,51.0,0.1,0.0,-0.06756258010864258,24.0
56,default,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,71.0,37.0,17.0,88.0,0.1,0.0,-4.76837158203125e-07,3.0
57,tket,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,26.0,17.0,7.0,33.0,0.1,0.0,-0.04887795448303223,3.0
