,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
39,voqc,50.0,4.0,default/gate_count/i_5_cnt_50,44.0,32.0,7.0,51.0,0.0,0.0,-0.09871578216552734,9.0
40,qfast,50.0,4.0,default/gate_count/i_5_cnt_50,36.0,52.0,50.0,86.0,0.0,0.0,-6.650800943374634,12.0
41,pyzx,50.0,4.0,default/gate_count/i_5_cnt_50,34.0,25.0,7.0,41.0,0.0,0.0,-0.05943703651428223,17.0
42,default,50.0,4.0,default/gate_count/i_6_cnt_50,75.0,37.0,9.0,84.0,0.0,0.0,-7.152557373046875e-07,5.0
43,tket,50.0,4.0,default/gate_count/i_6_cnt_50,35.0,19.0,5.0,40.0,0.0,0.0,-0.10863113403320312,5.0
44,qiskit,50.0,4.0,default/gate_count/i_6_cnt_50,75.0,37.0,9.0,84.0,0.0,0.0,-0.0170285701751709,5.0
45,tpar,50.0,4.0,default/gate_count/i_6_cnt_50,66.0,36.0,5.0,71.0,0.0,0.0,-0.07034111022949219,19.0
46,voqc,50.0,4.0,default/gate_count/i_6_cnt_50,77.0,38.0,5.0,82.0,0.0,0.0,-0.10408592224121094,5.0
47,qfast,50.0,4.0,default/gate_count/i_6_cnt_50,63.0,94.0,81.0,144.0,0.0,0.0,-9.34803581237793,21.0
48,pyzx,50.0,4.0,default/gate_count/i_6_cnt_50,35.0,26.0,5.0,40.0,0.0,0.0,-0.0605928897857666,13.0
49,default,50.0,4.0,default/gate_count/i_7_cnt_50,63.0,31.0,11.0,74.0,0.0,0.0,-9.5367431640625e-07,12.0
50,tket,50.0,4.0,default/gate_count/i_7_cnt_50,41.0,20.0,3.0,44.0,0.0,0.0,-0.11203455924987793,9.0
51,qiskit,50.0,4.0,default/gate_count/i_7_cnt_50,63.0,31.0,11.0,74.0,0.0,0.0,-0.018397092819213867,12.0
52,tpar,50.0,4.0,default/gate_count/i_7_cnt_50,98.0,74.0,3.0,101.0,0.0,0.0,-0.0794839859008789,58.0
53,voqc,50.0,4.0,default/gate_count/i_7_cnt_50,64.0,29.0,3.0,67.0,0.0,0.0,-0.10594058036804199,12.0
54,qfast,50.0,4.0,default/gate_count/i_7_cnt_50,30.0,50.0,42.0,72.0,0.0,0.0,-6.218674898147583,10.0
55,pyzx,50.0,4.0,default/gate_count/i_7_cnt_50,34.0,26.0,3.0,37.0,0.0,0.0,-0.06132197380065918,15.0
56,default,50.0,4.0,default/gate_count/i_8_cnt_50,60.0,38.0,10.0,70.0,0.0,0.0,-9.5367431640625e-07,17.0
57,tket,50.0,4.0,default/gate_count/i_8_cnt_50,55.0,32.0,13.0,68.0,0.0,0.0,-0.11808419227600098,9.0
58,qiskit,50.0,4.0,default/gate_count/i_8_cnt_50,60.0,38.0,10.0,70.0,0.0,0.0,-0.02073359489440918,17.0
59,tpar,50.0,4.0,default/gate_count/i_8_cnt_50,92.0,67.0,8.0,100.0,0.0,0.0,-0.08243703842163086,58.0
60,voqc,50.0,4.0,default/gate_count/i_8_cnt_50,81.0,52.0,8.0,89.0,0.0,0.0,-0.11342549324035645,17.0
61,qfast,50.0,4.0,default/gate_count/i_8_cnt_50,45.0,63.0,61.0,106.0,0.0,0.0,-5.033442258834839,15.0
62,pyzx,50.0,4.0,default/gate_count/i_8_cnt_50,42.0,34.0,8.0,50.0,0.0,0.0,-0.06492114067077637,16.0
63,default,50.0,4.0,default/gate_count/i_9_cnt_50,56.0,33.0,20.0,76.0,0.0,0.0,-4.76837158203125e-07,12.0
64,tket,50.0,4.0,default/gate_count/i_9_cnt_50,43.0,29.0,8.0,51.0,0.0,0.0,-0.05097770690917969,11.0
65,qiskit,50.0,4.0,default/gate_count/i_9_cnt_50,56.0,33.0,20.0,76.0,0.0,0.0,-0.01777052879333496,12.0
66,tpar,50.0,4.0,default/gate_count/i_9_cnt_50,75.0,54.0,12.0,87.0,0.0,0.0,-0.07701396942138672,35.0
67,voqc,50.0,4.0,default/gate_count/i_9_cnt_50,92.0,48.0,12.0,104.0,0.0,0.0,-0.11198925971984863,12.0
68,qfast,50.0,4.0,default/gate_count/i_9_cnt_50,60.0,98.0,80.0,140.0,0.0,0.0,-20.200762033462524,20.0
69,pyzx,50.0,4.0,default/gate_count/i_9_cnt_50,48.0,37.0,8.0,56.0,0.0,0.0,-0.07339692115783691,24.0
70,default,50.0,4.0,default/gate_count/i_10_cnt_50,74.0,42.0,6.0,80.0,0.0,0.0,-4.76837158203125e-07,13.0
71,tket,50.0,4.0,default/gate_count/i_10_cnt_50,35.0,18.0,4.0,39.0,0.0,0.0,-0.05561208724975586,4.0
72,qiskit,50.0,4.0,default/gate_count/i_10_cnt_50,70.0,38.0,6.0,76.0,0.0,0.0,-0.01858067512512207,9.0
73,tpar,50.0,4.0,default/gate_count/i_10_cnt_50,72.0,44.0,4.0,76.0,0.0,0.0,-0.07669973373413086,28.0
74,voqc,50.0,4.0,default/gate_count/i_10_cnt_50,85.0,58.0,4.0,89.0,0.0,0.0,-0.11544442176818848,9.0
75,qfast,50.0,4.0,default/gate_count/i_10_cnt_50,30.0,33.0,42.0,72.0,0.0,0.0,-3.2717444896698,10.0
76,pyzx,50.0,4.0,default/gate_count/i_10_cnt_50,28.0,23.0,4.0,32.0,0.0,0.0,-0.06293630599975586,12.0
77,default,50.0,4.0,default/gate_count/i_11_cnt_50,58.0,30.0,12.0,70.0,0.0,0.0,-9.5367431640625e-07,13.0
78,tket,50.0,4.0,default/gate_count/i_11_cnt_50,52.0,32.0,10.0,62.0,0.0,0.0,-0.057352542877197266,11.0
79,qiskit,50.0,4.0,default/gate_count/i_11_cnt_50,58.0,30.0,12.0,70.0,0.0,0.0,-0.01815342903137207,13.0
80,tpar,50.0,4.0,default/gate_count/i_11_cnt_50,74.0,54.0,8.0,82.0,0.0,0.0,-0.0798640251159668,40.0
81,voqc,50.0,4.0,default/gate_count/i_11_cnt_50,64.0,42.0,8.0,72.0,0.0,0.0,-0.11465716361999512,13.0
82,qfast,50.0,4.0,default/gate_count/i_11_cnt_50,42.0,71.0,56.0,98.0,0.0,0.0,-4.422183275222778,14.0
83,pyzx,50.0,4.0,default/gate_count/i_11_cnt_50,39.0,32.0,6.0,45.0,0.0,0.0,-0.06812047958374023,21.0
84,default,50.0,4.0,default/gate_count/i_12_cnt_50,73.0,40.0,7.0,80.0,0.0,0.0,-7.152557373046875e-07,19.0
