,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
38,tpar,50.0,3.0,default/qubits/i_5_num_qubits_3,72.0,55.0,5.0,77.0,0.0,0.0,-0.07338666915893555,27.0
39,voqc,50.0,3.0,default/qubits/i_5_num_qubits_3,81.0,65.0,5.0,86.0,0.0,0.0,-0.10711550712585449,12.0
40,qfast,50.0,3.0,default/qubits/i_5_num_qubits_3,21.0,30.0,24.0,45.0,0.0,0.0,-0.2978966236114502,7.0
41,pyzx,50.0,3.0,default/qubits/i_5_num_qubits_3,27.0,24.0,5.0,32.0,0.0,0.0,-0.059334516525268555,8.0
42,default,50.0,3.0,default/qubits/i_6_num_qubits_3,52.0,53.0,16.0,68.0,0.0,0.0,-4.76837158203125e-07,15.0
43,tket,50.0,3.0,default/qubits/i_6_num_qubits_3,41.0,30.0,4.0,45.0,0.0,0.0,-0.11415696144104004,10.0
44,qiskit,50.0,3.0,default/qubits/i_6_num_qubits_3,52.0,53.0,16.0,68.0,0.0,0.0,-0.016009092330932617,15.0
45,tpar,50.0,3.0,default/qubits/i_6_num_qubits_3,63.0,55.0,4.0,67.0,0.0,0.0,-0.07328438758850098,33.0
46,voqc,50.0,3.0,default/qubits/i_6_num_qubits_3,70.0,65.0,4.0,74.0,0.0,0.0,-0.10560178756713867,13.0
47,qfast,50.0,3.0,default/qubits/i_6_num_qubits_3,21.0,27.0,24.0,45.0,0.0,0.0,-0.968132734298706,7.0
48,pyzx,50.0,3.0,default/qubits/i_6_num_qubits_3,30.0,29.0,4.0,34.0,0.0,0.0,-0.06172800064086914,12.0
49,default,50.0,3.0,default/qubits/i_7_num_qubits_3,61.0,45.0,15.0,76.0,0.0,0.0,-4.76837158203125e-07,12.0
50,tket,50.0,3.0,default/qubits/i_7_num_qubits_3,56.0,37.0,5.0,61.0,0.0,0.0,-0.11301898956298828,8.0
51,qiskit,50.0,3.0,default/qubits/i_7_num_qubits_3,61.0,45.0,15.0,76.0,0.0,0.0,-0.01812744140625,12.0
52,tpar,50.0,3.0,default/qubits/i_7_num_qubits_3,63.0,46.0,5.0,68.0,0.0,0.0,-0.0710597038269043,19.0
53,voqc,50.0,3.0,default/qubits/i_7_num_qubits_3,89.0,59.0,5.0,94.0,0.0,0.0,-0.10887742042541504,12.0
54,qfast,50.0,3.0,default/qubits/i_7_num_qubits_3,26.0,32.0,25.0,51.0,0.0,0.0,-1.0440418720245361,8.0
55,pyzx,50.0,3.0,default/qubits/i_7_num_qubits_3,28.0,25.0,5.0,33.0,0.0,0.0,-0.05974102020263672,12.0
56,default,50.0,3.0,default/qubits/i_8_num_qubits_3,60.0,45.0,10.0,70.0,0.0,0.0,-4.76837158203125e-07,19.0
57,tket,50.0,3.0,default/qubits/i_8_num_qubits_3,29.0,26.0,8.0,37.0,0.0,0.0,-0.10958051681518555,9.0
58,qiskit,50.0,3.0,default/qubits/i_8_num_qubits_3,56.0,41.0,10.0,66.0,0.0,0.0,-0.01898050308227539,15.0
59,tpar,50.0,3.0,default/qubits/i_8_num_qubits_3,57.0,46.0,8.0,65.0,0.0,0.0,-0.07342529296875,27.0
60,voqc,50.0,3.0,default/qubits/i_8_num_qubits_3,67.0,45.0,8.0,75.0,0.0,0.0,-0.10704493522644043,15.0
61,qfast,50.0,3.0,default/qubits/i_8_num_qubits_3,17.0,23.0,16.0,33.0,0.0,0.0,-0.31076478958129883,5.0
62,pyzx,50.0,3.0,default/qubits/i_8_num_qubits_3,26.0,26.0,8.0,34.0,0.0,0.0,-0.05964803695678711,6.0
63,default,50.0,3.0,default/qubits/i_9_num_qubits_3,53.0,42.0,13.0,66.0,0.0,0.0,-4.76837158203125e-07,18.0
64,tket,50.0,3.0,default/qubits/i_9_num_qubits_3,46.0,31.0,5.0,51.0,0.0,0.0,-0.11645722389221191,9.0
65,qiskit,50.0,3.0,default/qubits/i_9_num_qubits_3,53.0,42.0,13.0,66.0,0.0,0.0,-0.01665663719177246,18.0
66,tpar,50.0,3.0,default/qubits/i_9_num_qubits_3,69.0,57.0,5.0,74.0,0.0,0.0,-0.07481813430786133,38.0
67,voqc,50.0,3.0,default/qubits/i_9_num_qubits_3,72.0,54.0,5.0,77.0,0.0,0.0,-0.1084444522857666,16.0
68,qfast,50.0,3.0,default/qubits/i_9_num_qubits_3,24.0,35.0,27.0,51.0,0.0,0.0,-1.2749829292297363,8.0
69,pyzx,50.0,3.0,default/qubits/i_9_num_qubits_3,29.0,26.0,5.0,34.0,0.0,0.0,-0.05967521667480469,14.0
70,default,50.0,3.0,default/qubits/i_10_num_qubits_3,58.0,47.0,14.0,72.0,0.0,0.0,-4.76837158203125e-07,22.0
71,tket,50.0,3.0,default/qubits/i_10_num_qubits_3,55.0,43.0,9.0,64.0,0.0,0.0,-0.11595726013183594,15.0
72,qiskit,50.0,3.0,default/qubits/i_10_num_qubits_3,56.0,44.0,14.0,70.0,0.0,0.0,-0.02004837989807129,20.0
73,tpar,50.0,3.0,default/qubits/i_10_num_qubits_3,69.0,56.0,6.0,75.0,0.0,0.0,-0.07443714141845703,30.0
74,voqc,50.0,3.0,default/qubits/i_10_num_qubits_3,77.0,50.0,6.0,83.0,0.0,0.0,-0.10947299003601074,20.0
75,qfast,50.0,3.0,default/qubits/i_10_num_qubits_3,27.0,37.0,30.0,57.0,0.0,0.0,-1.1112463474273682,9.0
76,pyzx,50.0,3.0,default/qubits/i_10_num_qubits_3,40.0,38.0,6.0,46.0,0.0,0.0,-0.06455111503601074,18.0
77,default,50.0,3.0,default/qubits/i_11_num_qubits_3,70.0,45.0,14.0,84.0,0.0,0.0,-4.76837158203125e-07,9.0
78,tket,50.0,3.0,default/qubits/i_11_num_qubits_3,25.0,18.0,6.0,31.0,0.0,0.0,-0.10856175422668457,5.0
79,qiskit,50.0,3.0,default/qubits/i_11_num_qubits_3,68.0,42.0,14.0,82.0,0.0,0.0,-0.01722264289855957,7.0
80,tpar,50.0,3.0,default/qubits/i_11_num_qubits_3,53.0,35.0,6.0,59.0,0.0,0.0,-0.06752824783325195,11.0
81,voqc,50.0,3.0,default/qubits/i_11_num_qubits_3,85.0,66.0,6.0,91.0,0.0,0.0,-0.10658502578735352,7.0
82,qfast,50.0,3.0,default/qubits/i_11_num_qubits_3,18.0,25.0,21.0,39.0,0.0,0.0,-0.32224202156066895,6.0
83,pyzx,50.0,3.0,default/qubits/i_11_num_qubits_3,36.0,32.0,6.0,42.0,0.0,0.0,-0.05888700485229492,14.0
84,default,50.0,3.0,default/qubits/i_12_num_qubits_3,79.0,44.0,9.0,88.0,0.0,0.0,-4.76837158203125e-07,8.0
85,tket,50.0,3.0,default/qubits/i_12_num_qubits_3,22.0,21.0,6.0,28.0,0.0,0.0,-0.10825991630554199,6.0
86,qiskit,50.0,3.0,default/qubits/i_12_num_qubits_3,79.0,44.0,9.0,88.0,0.0,0.0,-0.020501375198364258,8.0
87,tpar,50.0,3.0,default/qubits/i_12_num_qubits_3,72.0,44.0,7.0,79.0,0.0,0.0,-0.0734395980834961,19.0
88,voqc,50.0,3.0,default/qubits/i_12_num_qubits_3,70.0,57.0,7.0,77.0,0.0,0.0,-0.10531449317932129,8.0
89,qfast,50.0,3.0,default/qubits/i_12_num_qubits_3,21.0,30.0,24.0,45.0,0.0,0.0,-0.8976845741271973,7.0
90,pyzx,50.0,3.0,default/qubits/i_12_num_qubits_3,32.0,33.0,5.0,37.0,0.0,0.0,-0.06257843971252441,15.0
91,default,50.0,3.0,default/qubits/i_13_num_qubits_3,54.0,39.0,12.0,66.0,0.0,0.0,-7.152557373046875e-07,16.0
92,tket,50.0,3.0,default/qubits/i_13_num_qubits_3,36.0,24.0,4.0,40.0,0.0,0.0,-0.11243700981140137,7.0
93,qiskit,50.0,3.0,default/qubits/i_13_num_qubits_3,52.0,37.0,12.0,64.0,0.0,0.0,-0.016498327255249023,14.0
94,tpar,50.0,3.0,default/qubits/i_13_num_qubits_3,46.0,33.0,2.0,48.0,0.0,0.0,-0.0678553581237793,18.0
95,voqc,50.0,3.0,default/qubits/i_13_num_qubits_3,65.0,49.0,2.0,67.0,0.0,0.0,-0.10441970825195312,12.0
96,qfast,50.0,3.0,default/qubits/i_13_num_qubits_3,20.0,20.0,13.0,33.0,0.0,0.0,-0.17498564720153809,5.0
97,pyzx,50.0,3.0,default/qubits/i_13_num_qubits_3,23.0,16.0,2.0,25.0,0.0,0.0,-0.059543609619140625,8.0
98,default,50.0,3.0,default/qubits/i_14_num_qubits_3,51.0,40.0,19.0,70.0,0.0,0.0,-7.152557373046875e-07,12.0
99,tket,50.0,3.0,default/qubits/i_14_num_qubits_3,29.0,23.0,5.0,34.0,0.0,0.0,-0.04896664619445801,7.0
100,qiskit,50.0,3.0,default/qubits/i_14_num_qubits_3,47.0,39.0,19.0,66.0,0.0,0.0,-0.019017457962036133,8.0
101,tpar,50.0,3.0,default/qubits/i_14_num_qubits_3,49.0,42.0,7.0,56.0,0.0,0.0,-0.1300950050354004,18.0
102,voqc,50.0,3.0,default/qubits/i_14_num_qubits_3,70.0,51.0,7.0,77.0,0.0,0.0,-0.10511565208435059,8.0
103,qfast,50.0,3.0,default/qubits/i_14_num_qubits_3,18.0,25.0,21.0,39.0,0.0,0.0,-0.6588549613952637,6.0
104,pyzx,50.0,3.0,default/qubits/i_14_num_qubits_3,27.0,24.0,5.0,32.0,0.0,0.0,-0.06177544593811035,14.0
105,default,50.0,3.0,default/qubits/i_15_num_qubits_3,60.0,35.0,14.0,74.0,0.0,0.0,-9.5367431640625e-07,10.0
106,tket,50.0,3.0,default/qubits/i_15_num_qubits_3,43.0,27.0,8.0,51.0,0.0,0.0,-0.05118870735168457,5.0
107,qiskit,50.0,3.0,default/qubits/i_15_num_qubits_3,58.0,35.0,14.0,72.0,0.0,0.0,-0.017312288284301758,8.0
108,tpar,50.0,3.0,default/qubits/i_15_num_qubits_3,65.0,41.0,4.0,69.0,0.0,0.0,-0.1319282054901123,23.0
109,voqc,50.0,3.0,default/qubits/i_15_num_qubits_3,79.0,42.0,4.0,83.0,0.0,0.0,-0.1050264835357666,8.0
