,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
38,tpar,50.0,4.0,default/tprob/i_5_t_pr_0.1,76.0,45.0,5.0,81.0,0.0,0.1,-0.07666230201721191,32.0
39,voqc,50.0,4.0,default/tprob/i_5_t_pr_0.1,91.0,50.0,5.0,96.0,0.0,0.1,-0.11356091499328613,13.0
40,qfast,50.0,4.0,default/tprob/i_5_t_pr_0.1,45.0,55.0,61.0,106.0,0.0,0.1,-12.527710437774658,15.0
41,pyzx,50.0,4.0,default/tprob/i_5_t_pr_0.1,43.0,38.0,5.0,48.0,0.0,0.1,-0.12640738487243652,23.0
42,default,50.0,4.0,default/tprob/i_6_t_pr_0.1,72.0,32.0,4.0,76.0,0.0,0.1,-4.76837158203125e-07,13.0
43,tket,50.0,4.0,default/tprob/i_6_t_pr_0.1,42.0,23.0,4.0,46.0,0.0,0.1,-0.05210614204406738,10.0
44,qiskit,50.0,4.0,default/tprob/i_6_t_pr_0.1,72.0,32.0,4.0,76.0,0.0,0.1,-0.020705461502075195,13.0
45,tpar,50.0,4.0,default/tprob/i_6_t_pr_0.1,76.0,43.0,4.0,80.0,0.0,0.1,-0.07476520538330078,33.0
46,voqc,50.0,4.0,default/tprob/i_6_t_pr_0.1,78.0,42.0,4.0,82.0,0.0,0.1,-0.11001038551330566,13.0
47,qfast,50.0,4.0,default/tprob/i_6_t_pr_0.1,45.0,47.0,61.0,106.0,0.0,0.1,-12.183145761489868,15.0
48,pyzx,50.0,4.0,default/tprob/i_6_t_pr_0.1,28.0,23.0,2.0,30.0,0.0,0.1,-0.12095451354980469,11.0
49,default,50.0,4.0,default/tprob/i_7_t_pr_0.1,68.0,35.0,6.0,74.0,0.0,0.1,-7.152557373046875e-07,17.0
50,tket,50.0,4.0,default/tprob/i_7_t_pr_0.1,40.0,22.0,6.0,46.0,0.0,0.1,-0.05090904235839844,10.0
51,qiskit,50.0,4.0,default/tprob/i_7_t_pr_0.1,64.0,32.0,6.0,70.0,0.0,0.1,-0.017467021942138672,13.0
52,tpar,50.0,4.0,default/tprob/i_7_t_pr_0.1,76.0,58.0,6.0,82.0,0.0,0.1,-0.07598018646240234,38.0
53,voqc,50.0,4.0,default/tprob/i_7_t_pr_0.1,86.0,44.0,6.0,92.0,0.0,0.1,-0.10849118232727051,11.0
54,qfast,50.0,4.0,default/tprob/i_7_t_pr_0.1,51.0,74.0,69.0,120.0,0.0,0.1,-7.786324739456177,17.0
55,pyzx,50.0,4.0,default/tprob/i_7_t_pr_0.1,38.0,22.0,4.0,42.0,0.0,0.1,-0.12253069877624512,16.0
56,default,50.0,4.0,default/tprob/i_8_t_pr_0.1,88.0,44.0,4.0,92.0,0.0,0.1,-7.152557373046875e-07,13.0
57,tket,50.0,4.0,default/tprob/i_8_t_pr_0.1,48.0,25.0,2.0,50.0,0.0,0.1,-0.05338406562805176,9.0
