,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
46,voqc,40.0,4.0,gate_count/i_0_cnt_40,57.0,29.0,4.0,61.0,-0.1649012565612793,6.0
47,qfast,40.0,4.0,gate_count/i_0_cnt_40,60.0,68.0,80.0,140.0,-33.46592140197754,20.0
48,pyzx,40.0,4.0,gate_count/i_0_cnt_40,37.0,26.0,4.0,41.0,-0.0891866683959961,20.0
49,default,40.0,4.0,gate_count/i_1_cnt_40,49.0,30.0,11.0,60.0,-9.298324584960938e-06,10.0
50,tket,40.0,4.0,gate_count/i_1_cnt_40,41.0,19.0,7.0,48.0,-0.07306432723999023,6.0
51,qiskit,40.0,4.0,gate_count/i_1_cnt_40,49.0,30.0,11.0,60.0,-0.025974035263061523,10.0
52,tpar,40.0,4.0,gate_count/i_1_cnt_40,74.0,50.0,7.0,81.0,-0.11434173583984375,41.0
53,voqc,40.0,4.0,gate_count/i_1_cnt_40,60.0,38.0,7.0,67.0,-0.1422126293182373,10.0
54,qfast,40.0,4.0,gate_count/i_1_cnt_40,30.0,47.0,42.0,72.0,-4.452022314071655,10.0
55,pyzx,40.0,4.0,gate_count/i_1_cnt_40,34.0,26.0,7.0,41.0,-0.08558201789855957,14.0
56,default,50.0,4.0,gate_count/i_0_cnt_50,69.0,32.0,9.0,78.0,-8.58306884765625e-06,11.0
57,tket,50.0,4.0,gate_count/i_0_cnt_50,36.0,20.0,5.0,41.0,-0.08040547370910645,6.0
58,qiskit,50.0,4.0,gate_count/i_0_cnt_50,69.0,32.0,9.0,78.0,-0.036717891693115234,11.0
59,tpar,50.0,4.0,gate_count/i_0_cnt_50,66.0,37.0,5.0,71.0,-0.10345292091369629,26.0
60,voqc,50.0,4.0,gate_count/i_0_cnt_50,99.0,42.0,5.0,104.0,-0.1544325351715088,9.0
61,qfast,50.0,4.0,gate_count/i_0_cnt_50,54.0,76.0,72.0,126.0,-9.739579200744629,18.0
62,pyzx,50.0,4.0,gate_count/i_0_cnt_50,54.0,43.0,5.0,59.0,-0.09542155265808105,28.0
63,default,50.0,4.0,gate_count/i_1_cnt_50,58.0,36.0,8.0,66.0,-9.059906005859375e-06,19.0
64,tket,50.0,4.0,gate_count/i_1_cnt_50,50.0,35.0,6.0,56.0,-0.08402299880981445,13.0
65,qiskit,50.0,4.0,gate_count/i_1_cnt_50,56.0,34.0,8.0,64.0,-0.036936044692993164,17.0
66,tpar,50.0,4.0,gate_count/i_1_cnt_50,76.0,57.0,6.0,82.0,-0.17093682289123535,42.0
67,voqc,50.0,4.0,gate_count/i_1_cnt_50,67.0,41.0,6.0,73.0,-0.1559886932373047,15.0
68,qfast,50.0,4.0,gate_count/i_1_cnt_50,75.0,89.0,99.0,174.0,-41.126888036727905,25.0
69,pyzx,50.0,4.0,gate_count/i_1_cnt_50,44.0,37.0,6.0,50.0,-0.09045076370239258,21.0
70,default,60.0,4.0,gate_count/i_0_cnt_60,62.0,45.0,20.0,82.0,-8.344650268554688e-06,20.0
71,tket,60.0,4.0,gate_count/i_0_cnt_60,44.0,32.0,6.0,50.0,-0.08408284187316895,12.0
72,qiskit,60.0,4.0,gate_count/i_0_cnt_60,62.0,45.0,20.0,82.0,-0.028859615325927734,20.0
73,tpar,60.0,4.0,gate_count/i_0_cnt_60,82.0,60.0,6.0,88.0,-0.13097429275512695,46.0
74,voqc,60.0,4.0,gate_count/i_0_cnt_60,88.0,56.0,6.0,94.0,-0.16708827018737793,18.0
75,qfast,60.0,4.0,gate_count/i_0_cnt_60,42.0,68.0,56.0,98.0,-8.800065517425537,14.0
76,pyzx,60.0,4.0,gate_count/i_0_cnt_60,48.0,39.0,6.0,54.0,-0.09982442855834961,26.0
77,default,60.0,4.0,gate_count/i_1_cnt_60,74.0,44.0,14.0,88.0,-9.059906005859375e-06,17.0
78,tket,60.0,4.0,gate_count/i_1_cnt_60,66.0,43.0,10.0,76.0,-0.08042430877685547,15.0
79,qiskit,60.0,4.0,gate_count/i_1_cnt_60,74.0,44.0,14.0,88.0,-0.04062700271606445,17.0
80,tpar,60.0,4.0,gate_count/i_1_cnt_60,94.0,68.0,10.0,104.0,-0.15966582298278809,49.0
81,voqc,60.0,4.0,gate_count/i_1_cnt_60,104.0,59.0,10.0,114.0,-0.28985118865966797,17.0
82,qfast,60.0,4.0,gate_count/i_1_cnt_60,111.0,151.0,143.0,254.0,-82.47752594947815,37.0
83,pyzx,60.0,4.0,gate_count/i_1_cnt_60,56.0,47.0,10.0,66.0,-0.11625218391418457,32.0
84,default,70.0,4.0,gate_count/i_0_cnt_70,90.0,52.0,16.0,106.0,-8.821487426757812e-06,15.0
85,tket,70.0,4.0,gate_count/i_0_cnt_70,76.0,47.0,8.0,84.0,-0.08684587478637695,13.0
86,qiskit,70.0,4.0,gate_count/i_0_cnt_70,90.0,52.0,16.0,106.0,-0.04196023941040039,15.0
87,tpar,70.0,4.0,gate_count/i_0_cnt_70,114.0,76.0,8.0,122.0,-0.14088201522827148,53.0
88,voqc,70.0,4.0,gate_count/i_0_cnt_70,108.0,60.0,8.0,116.0,-0.25777316093444824,15.0
89,qfast,70.0,4.0,gate_count/i_0_cnt_70,90.0,109.0,120.0,210.0,-54.635778188705444,30.0
90,pyzx,70.0,4.0,gate_count/i_0_cnt_70,51.0,40.0,8.0,59.0,-0.11173582077026367,21.0
91,default,70.0,4.0,gate_count/i_1_cnt_70,71.0,41.0,19.0,90.0,-8.58306884765625e-06,22.0
92,tket,70.0,4.0,gate_count/i_1_cnt_70,52.0,33.0,9.0,61.0,-0.04511070251464844,13.0
93,qiskit,70.0,4.0,gate_count/i_1_cnt_70,67.0,39.0,19.0,86.0,-0.042220115661621094,18.0
