,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
38,tpar,50.0,4.0,default/tprob/i_5_t_pr_0.1,76.0,45.0,5.0,81.0,0.0,0.1,-0.10245466232299805,32.0
39,voqc,50.0,4.0,default/tprob/i_5_t_pr_0.1,91.0,50.0,5.0,96.0,0.0,0.1,-0.04752516746520996,13.0
40,qfast,50.0,4.0,default/tprob/i_5_t_pr_0.1,52.0,54.0,53.0,105.0,0.0,0.1,-0.05372214317321777,15.0
41,pyzx,50.0,4.0,default/tprob/i_5_t_pr_0.1,69.0,49.0,5.0,74.0,0.0,0.1,-0.0433201789855957,23.0
42,default,50.0,4.0,default/tprob/i_6_t_pr_0.1,72.0,32.0,4.0,76.0,0.0,0.1,-0.044852495193481445,13.0
43,tket,50.0,4.0,default/tprob/i_6_t_pr_0.1,42.0,23.0,4.0,46.0,0.0,0.1,-0.04257512092590332,10.0
44,qiskit,50.0,4.0,default/tprob/i_6_t_pr_0.1,72.0,32.0,4.0,76.0,0.0,0.1,-0.045133352279663086,13.0
45,tpar,50.0,4.0,default/tprob/i_6_t_pr_0.1,76.0,43.0,4.0,80.0,0.0,0.1,-0.04705667495727539,33.0
46,voqc,50.0,4.0,default/tprob/i_6_t_pr_0.1,78.0,42.0,4.0,82.0,0.0,0.1,-0.04635763168334961,13.0
47,qfast,50.0,4.0,default/tprob/i_6_t_pr_0.1,53.0,47.0,53.0,106.0,0.0,0.1,-0.05352497100830078,15.0
48,pyzx,50.0,4.0,default/tprob/i_6_t_pr_0.1,44.0,29.0,2.0,46.0,0.0,0.1,-0.04152727127075195,11.0
49,default,50.0,4.0,default/tprob/i_7_t_pr_0.1,68.0,35.0,6.0,74.0,0.0,0.1,-0.04506635665893555,17.0
50,tket,50.0,4.0,default/tprob/i_7_t_pr_0.1,40.0,22.0,6.0,46.0,0.0,0.1,-0.04250812530517578,10.0
51,qiskit,50.0,4.0,default/tprob/i_7_t_pr_0.1,64.0,32.0,6.0,70.0,0.0,0.1,-0.04424309730529785,13.0
52,tpar,50.0,4.0,default/tprob/i_7_t_pr_0.1,76.0,58.0,6.0,82.0,0.0,0.1,-0.047652244567871094,38.0
53,voqc,50.0,4.0,default/tprob/i_7_t_pr_0.1,86.0,44.0,6.0,92.0,0.0,0.1,-0.046805381774902344,11.0
54,qfast,50.0,4.0,default/tprob/i_7_t_pr_0.1,56.0,74.0,63.0,119.0,0.0,0.1,-0.11200714111328125,17.0
55,pyzx,50.0,4.0,default/tprob/i_7_t_pr_0.1,64.0,30.0,4.0,68.0,0.0,0.1,-0.04265618324279785,16.0
56,default,50.0,4.0,default/tprob/i_8_t_pr_0.1,88.0,44.0,4.0,92.0,0.0,0.1,-0.04683351516723633,13.0
57,tket,50.0,4.0,default/tprob/i_8_t_pr_0.1,48.0,25.0,2.0,50.0,0.0,0.1,-0.09849333763122559,9.0
58,qiskit,50.0,4.0,default/tprob/i_8_t_pr_0.1,86.0,42.0,4.0,90.0,0.0,0.1,-0.04818415641784668,11.0
59,tpar,50.0,4.0,default/tprob/i_8_t_pr_0.1,76.0,42.0,2.0,78.0,0.0,0.1,-0.04615616798400879,27.0
60,voqc,50.0,4.0,default/tprob/i_8_t_pr_0.1,106.0,54.0,2.0,108.0,0.0,0.1,-0.10602140426635742,11.0
61,qfast,50.0,4.0,default/tprob/i_8_t_pr_0.1,58.0,63.0,54.0,112.0,0.0,0.1,-0.05348944664001465,16.0
62,pyzx,50.0,4.0,default/tprob/i_8_t_pr_0.1,63.0,42.0,2.0,65.0,0.0,0.1,-0.04305219650268555,19.0
63,default,50.0,4.0,default/tprob/i_9_t_pr_0.1,82.0,44.0,6.0,88.0,0.0,0.1,-0.10258746147155762,12.0
64,tket,50.0,4.0,default/tprob/i_9_t_pr_0.1,47.0,22.0,7.0,54.0,0.0,0.1,-0.04399394989013672,9.0
65,qiskit,50.0,4.0,default/tprob/i_9_t_pr_0.1,82.0,44.0,6.0,88.0,0.0,0.1,-0.04640626907348633,12.0
66,tpar,50.0,4.0,default/tprob/i_9_t_pr_0.1,77.0,49.0,4.0,81.0,0.0,0.1,-0.04674935340881348,29.0
67,voqc,50.0,4.0,default/tprob/i_9_t_pr_0.1,100.0,53.0,4.0,104.0,0.0,0.1,-0.04743790626525879,12.0
68,qfast,50.0,4.0,default/tprob/i_9_t_pr_0.1,60.0,86.0,64.0,124.0,0.0,0.1,-0.05619668960571289,18.0
69,pyzx,50.0,4.0,default/tprob/i_9_t_pr_0.1,58.0,38.0,4.0,62.0,0.0,0.1,-0.04247713088989258,16.0
70,default,50.0,4.0,default/tprob/i_10_t_pr_0.1,70.0,31.0,10.0,80.0,0.0,0.1,-0.045101165771484375,9.0
71,tket,50.0,4.0,default/tprob/i_10_t_pr_0.1,45.0,23.0,6.0,51.0,0.0,0.1,-0.04404568672180176,8.0
72,qiskit,50.0,4.0,default/tprob/i_10_t_pr_0.1,70.0,31.0,10.0,80.0,0.0,0.1,-0.045075178146362305,9.0
73,tpar,50.0,4.0,default/tprob/i_10_t_pr_0.1,65.0,39.0,8.0,73.0,0.0,0.1,-0.04559493064880371,19.0
74,voqc,50.0,4.0,default/tprob/i_10_t_pr_0.1,102.0,52.0,8.0,110.0,0.0,0.1,-0.04825925827026367,9.0
75,qfast,50.0,4.0,default/tprob/i_10_t_pr_0.1,48.0,46.0,41.0,89.0,0.0,0.1,-0.0509638786315918,13.0
76,pyzx,50.0,4.0,default/tprob/i_10_t_pr_0.1,46.0,28.0,4.0,50.0,0.0,0.1,-0.09806227684020996,12.0
77,default,50.0,4.0,default/tprob/i_11_t_pr_0.1,76.0,45.0,6.0,82.0,0.0,0.1,-0.04545903205871582,14.0
78,tket,50.0,4.0,default/tprob/i_11_t_pr_0.1,51.0,37.0,8.0,59.0,0.0,0.1,-0.043396711349487305,11.0
79,qiskit,50.0,4.0,default/tprob/i_11_t_pr_0.1,76.0,45.0,6.0,82.0,0.0,0.1,-0.10421466827392578,14.0
80,tpar,50.0,4.0,default/tprob/i_11_t_pr_0.1,84.0,55.0,6.0,90.0,0.0,0.1,-0.04782915115356445,35.0
81,voqc,50.0,4.0,default/tprob/i_11_t_pr_0.1,82.0,52.0,6.0,88.0,0.0,0.1,-0.046128034591674805,14.0
