,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
39,voqc,50.0,4.0,default/gate_count/i_5_cnt_50,44.0,32.0,7.0,51.0,0.0,0.0,-0.04272627830505371,9.0
40,qfast,50.0,4.0,default/gate_count/i_5_cnt_50,42.0,50.0,42.0,84.0,0.0,0.0,-0.05066990852355957,12.0
41,pyzx,50.0,4.0,default/gate_count/i_5_cnt_50,56.0,34.0,7.0,63.0,0.0,0.0,-0.04289841651916504,17.0
42,default,50.0,4.0,default/gate_count/i_6_cnt_50,75.0,37.0,9.0,84.0,0.0,0.0,-0.045342206954956055,5.0
43,tket,50.0,4.0,default/gate_count/i_6_cnt_50,35.0,19.0,5.0,40.0,0.0,0.0,-0.04186296463012695,5.0
44,qiskit,50.0,4.0,default/gate_count/i_6_cnt_50,75.0,37.0,9.0,84.0,0.0,0.0,-0.04570150375366211,5.0
45,tpar,50.0,4.0,default/gate_count/i_6_cnt_50,66.0,36.0,5.0,71.0,0.0,0.0,-0.0456082820892334,19.0
46,voqc,50.0,4.0,default/gate_count/i_6_cnt_50,77.0,38.0,5.0,82.0,0.0,0.0,-0.10067963600158691,5.0
47,qfast,50.0,4.0,default/gate_count/i_6_cnt_50,68.0,94.0,76.0,144.0,0.0,0.0,-0.05876350402832031,21.0
48,pyzx,50.0,4.0,default/gate_count/i_6_cnt_50,55.0,37.0,5.0,60.0,0.0,0.0,-0.042740821838378906,13.0
49,default,50.0,4.0,default/gate_count/i_7_cnt_50,63.0,31.0,11.0,74.0,0.0,0.0,-0.04534268379211426,12.0
50,tket,50.0,4.0,default/gate_count/i_7_cnt_50,41.0,20.0,3.0,44.0,0.0,0.0,-0.04244184494018555,9.0
51,qiskit,50.0,4.0,default/gate_count/i_7_cnt_50,63.0,31.0,11.0,74.0,0.0,0.0,-0.044974327087402344,12.0
52,tpar,50.0,4.0,default/gate_count/i_7_cnt_50,98.0,74.0,3.0,101.0,0.0,0.0,-0.10215902328491211,58.0
53,voqc,50.0,4.0,default/gate_count/i_7_cnt_50,64.0,29.0,3.0,67.0,0.0,0.0,-0.044863224029541016,12.0
54,qfast,50.0,4.0,default/gate_count/i_7_cnt_50,34.0,50.0,38.0,72.0,0.0,0.0,-0.04884600639343262,10.0
55,pyzx,50.0,4.0,default/gate_count/i_7_cnt_50,52.0,34.0,3.0,55.0,0.0,0.0,-0.04205751419067383,15.0
56,default,50.0,4.0,default/gate_count/i_8_cnt_50,60.0,38.0,10.0,70.0,0.0,0.0,-0.04524850845336914,17.0
57,tket,50.0,4.0,default/gate_count/i_8_cnt_50,55.0,32.0,13.0,68.0,0.0,0.0,-0.04571890830993652,9.0
58,qiskit,50.0,4.0,default/gate_count/i_8_cnt_50,60.0,38.0,10.0,70.0,0.0,0.0,-0.045675039291381836,17.0
59,tpar,50.0,4.0,default/gate_count/i_8_cnt_50,92.0,67.0,8.0,100.0,0.0,0.0,-0.050038814544677734,58.0
60,voqc,50.0,4.0,default/gate_count/i_8_cnt_50,81.0,52.0,8.0,89.0,0.0,0.0,-0.04726099967956543,17.0
61,qfast,50.0,4.0,default/gate_count/i_8_cnt_50,51.0,62.0,54.0,105.0,0.0,0.0,-0.05356597900390625,15.0
62,pyzx,50.0,4.0,default/gate_count/i_8_cnt_50,72.0,47.0,8.0,80.0,0.0,0.0,-0.043493032455444336,16.0
63,default,50.0,4.0,default/gate_count/i_9_cnt_50,56.0,33.0,20.0,76.0,0.0,0.0,-0.04563140869140625,12.0
64,tket,50.0,4.0,default/gate_count/i_9_cnt_50,43.0,29.0,8.0,51.0,0.0,0.0,-0.04406094551086426,11.0
65,qiskit,50.0,4.0,default/gate_count/i_9_cnt_50,56.0,33.0,20.0,76.0,0.0,0.0,-0.04581713676452637,12.0
66,tpar,50.0,4.0,default/gate_count/i_9_cnt_50,75.0,54.0,12.0,87.0,0.0,0.0,-0.04800891876220703,35.0
