,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
35,default,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,71.0,33.0,13.0,84.0,0.1,0.0,-0.04489898681640625,3.0
36,tket,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,29.0,17.0,5.0,34.0,0.1,0.0,-0.04104804992675781,3.0
37,qiskit,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,71.0,33.0,13.0,84.0,0.1,0.0,-0.04528069496154785,3.0
38,tpar,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,53.0,24.0,5.0,58.0,0.1,0.0,-0.043479204177856445,7.0
39,voqc,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,70.0,45.0,5.0,75.0,0.1,0.0,-0.04520750045776367,3.0
40,qfast,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,21.0,25.0,23.0,44.0,0.1,0.0,-0.04497218132019043,6.0
41,pyzx,50.0,4.0,default/cnot_pr/i_5_cnot_pr_0.1,28.0,23.0,5.0,33.0,0.1,0.0,-0.041213035583496094,7.0
42,default,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,64.0,33.0,14.0,78.0,0.1,0.0,-0.04502105712890625,1.0
43,tket,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,20.0,13.0,4.0,24.0,0.1,0.0,-0.04042935371398926,1.0
44,qiskit,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,64.0,33.0,14.0,78.0,0.1,0.0,-0.04507851600646973,1.0
45,tpar,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,27.0,16.0,4.0,31.0,0.1,0.0,-0.1005096435546875,1.0
46,voqc,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,45.0,33.0,4.0,49.0,0.1,0.0,-0.04311704635620117,1.0
47,qfast,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,17.0,27.0,18.0,35.0,0.1,0.0,-0.044042110443115234,5.0
48,pyzx,50.0,4.0,default/cnot_pr/i_6_cnot_pr_0.1,20.0,13.0,4.0,24.0,0.1,0.0,-0.04031991958618164,2.0
49,default,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,70.0,35.0,14.0,84.0,0.1,0.0,-0.04620981216430664,6.0
50,tket,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,42.0,22.0,8.0,50.0,0.1,0.0,-0.042498111724853516,6.0
51,qiskit,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,70.0,35.0,14.0,84.0,0.1,0.0,-0.045558929443359375,6.0
52,tpar,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,71.0,37.0,8.0,79.0,0.1,0.0,-0.10413622856140137,14.0
53,voqc,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,83.0,46.0,8.0,91.0,0.1,0.0,-0.046767234802246094,6.0
54,qfast,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,45.0,51.0,55.0,100.0,0.1,0.0,-0.052893638610839844,14.0
55,pyzx,50.0,4.0,default/cnot_pr/i_7_cnot_pr_0.1,71.0,43.0,8.0,79.0,0.1,0.0,-0.04363751411437988,24.0
56,default,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,71.0,37.0,17.0,88.0,0.1,0.0,-0.045400381088256836,3.0
57,tket,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,26.0,17.0,7.0,33.0,0.1,0.0,-0.041284799575805664,3.0
58,qiskit,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,71.0,37.0,17.0,88.0,0.1,0.0,-0.04561209678649902,3.0
59,tpar,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,54.0,27.0,7.0,61.0,0.1,0.0,-0.04355764389038086,5.0
60,voqc,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,68.0,41.0,7.0,75.0,0.1,0.0,-0.04467296600341797,3.0
61,qfast,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,37.0,36.0,41.0,78.0,0.1,0.0,-0.04963207244873047,11.0
62,pyzx,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,35.0,19.0,7.0,42.0,0.1,0.0,-0.09970903396606445,6.0
63,default,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,62.0,31.0,16.0,78.0,0.1,0.0,-0.044952392578125,6.0
64,tket,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,26.0,12.0,6.0,32.0,0.1,0.0,-0.041048288345336914,5.0
65,qiskit,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,62.0,31.0,16.0,78.0,0.1,0.0,-0.10320758819580078,6.0
66,tpar,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,52.0,26.0,6.0,58.0,0.1,0.0,-0.04438066482543945,16.0
67,voqc,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,76.0,39.0,6.0,82.0,0.1,0.0,-0.046568870544433594,6.0
68,qfast,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,40.0,39.0,40.0,80.0,0.1,0.0,-0.04997372627258301,11.0
69,pyzx,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,43.0,26.0,6.0,49.0,0.1,0.0,-0.04129600524902344,10.0
70,default,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,72.0,31.0,8.0,80.0,0.1,0.0,-0.0454099178314209,6.0
71,tket,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,35.0,13.0,4.0,39.0,0.1,0.0,-0.04189777374267578,5.0
72,qiskit,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,72.0,31.0,8.0,80.0,0.1,0.0,-0.04530167579650879,6.0
73,tpar,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,44.0,26.0,4.0,48.0,0.1,0.0,-0.043248653411865234,14.0
74,voqc,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,69.0,31.0,4.0,73.0,0.1,0.0,-0.044736623764038086,6.0
75,qfast,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,64.0,75.0,68.0,132.0,0.1,0.0,-0.11316108703613281,19.0
76,pyzx,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,42.0,22.0,4.0,46.0,0.1,0.0,-0.041912078857421875,9.0
77,default,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,68.0,35.0,16.0,84.0,0.1,0.0,-0.04534196853637695,2.0
78,tket,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,26.0,14.0,9.0,35.0,0.1,0.0,-0.09831452369689941,2.0
79,qiskit,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,68.0,35.0,16.0,84.0,0.1,0.0,-0.04562854766845703,2.0
80,tpar,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,44.0,22.0,8.0,52.0,0.1,0.0,-0.04305720329284668,2.0
81,voqc,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,69.0,35.0,8.0,77.0,0.1,0.0,-0.04502367973327637,2.0
82,qfast,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,32.0,45.0,38.0,70.0,0.1,0.0,-0.047887563705444336,10.0
83,pyzx,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,35.0,27.0,8.0,43.0,0.1,0.0,-0.04131817817687988,8.0
84,default,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,61.0,29.0,17.0,78.0,0.1,0.0,-0.04507565498352051,4.0
85,tket,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,32.0,19.0,5.0,37.0,0.1,0.0,-0.04182577133178711,4.0
86,qiskit,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,61.0,29.0,17.0,78.0,0.1,0.0,-0.04524087905883789,4.0
87,tpar,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,54.0,26.0,5.0,59.0,0.1,0.0,-0.04492545127868652,14.0
88,voqc,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,70.0,34.0,5.0,75.0,0.1,0.0,-0.10146737098693848,4.0
89,qfast,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,44.0,61.0,56.0,100.0,0.1,0.0,-0.05204916000366211,14.0
90,pyzx,50.0,4.0,default/cnot_pr/i_12_cnot_pr_0.1,50.0,31.0,5.0,55.0,0.1,0.0,-0.04257464408874512,15.0
91,default,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,63.0,33.0,17.0,80.0,0.1,0.0,-0.1012277603149414,5.0
92,tket,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,34.0,19.0,9.0,43.0,0.1,0.0,-0.04258918762207031,3.0
