,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
39,voqc,50.0,3.0,default/qubits/i_5_num_qubits_3,81.0,65.0,5.0,86.0,0.0,0.0,-0.04658985137939453,12.0
40,qfast,50.0,3.0,default/qubits/i_5_num_qubits_3,30.0,29.0,14.0,44.0,0.0,0.0,-0.04498744010925293,7.0
41,pyzx,50.0,3.0,default/qubits/i_5_num_qubits_3,39.0,31.0,5.0,44.0,0.0,0.0,-0.041506052017211914,8.0
42,default,50.0,3.0,default/qubits/i_6_num_qubits_3,52.0,53.0,16.0,68.0,0.0,0.0,-0.04427838325500488,15.0
43,tket,50.0,3.0,default/qubits/i_6_num_qubits_3,41.0,30.0,4.0,45.0,0.0,0.0,-0.042322635650634766,10.0
44,qiskit,50.0,3.0,default/qubits/i_6_num_qubits_3,52.0,53.0,16.0,68.0,0.0,0.0,-0.04477572441101074,15.0
45,tpar,50.0,3.0,default/qubits/i_6_num_qubits_3,63.0,55.0,4.0,67.0,0.0,0.0,-0.04606962203979492,33.0
46,voqc,50.0,3.0,default/qubits/i_6_num_qubits_3,70.0,65.0,4.0,74.0,0.0,0.0,-0.04563641548156738,13.0
47,qfast,50.0,3.0,default/qubits/i_6_num_qubits_3,29.0,27.0,16.0,45.0,0.0,0.0,-0.10151553153991699,7.0
48,pyzx,50.0,3.0,default/qubits/i_6_num_qubits_3,52.0,37.0,4.0,56.0,0.0,0.0,-0.04165530204772949,12.0
49,default,50.0,3.0,default/qubits/i_7_num_qubits_3,61.0,45.0,15.0,76.0,0.0,0.0,-0.04489850997924805,12.0
50,tket,50.0,3.0,default/qubits/i_7_num_qubits_3,56.0,37.0,5.0,61.0,0.0,0.0,-0.0440981388092041,8.0
51,qiskit,50.0,3.0,default/qubits/i_7_num_qubits_3,61.0,45.0,15.0,76.0,0.0,0.0,-0.0455472469329834,12.0
52,tpar,50.0,3.0,default/qubits/i_7_num_qubits_3,63.0,46.0,5.0,68.0,0.0,0.0,-0.04534339904785156,19.0
53,voqc,50.0,3.0,default/qubits/i_7_num_qubits_3,89.0,59.0,5.0,94.0,0.0,0.0,-0.046335697174072266,12.0
54,qfast,50.0,3.0,default/qubits/i_7_num_qubits_3,33.0,30.0,16.0,49.0,0.0,0.0,-0.04603219032287598,8.0
55,pyzx,50.0,3.0,default/qubits/i_7_num_qubits_3,44.0,28.0,5.0,49.0,0.0,0.0,-0.04163622856140137,12.0
56,default,50.0,3.0,default/qubits/i_8_num_qubits_3,60.0,45.0,10.0,70.0,0.0,0.0,-0.04467892646789551,19.0
57,tket,50.0,3.0,default/qubits/i_8_num_qubits_3,29.0,26.0,8.0,37.0,0.0,0.0,-0.04133272171020508,9.0
58,qiskit,50.0,3.0,default/qubits/i_8_num_qubits_3,56.0,41.0,10.0,66.0,0.0,0.0,-0.044336795806884766,15.0
59,tpar,50.0,3.0,default/qubits/i_8_num_qubits_3,57.0,46.0,8.0,65.0,0.0,0.0,-0.04508328437805176,27.0
60,voqc,50.0,3.0,default/qubits/i_8_num_qubits_3,67.0,45.0,8.0,75.0,0.0,0.0,-0.04510664939880371,15.0
61,qfast,50.0,3.0,default/qubits/i_8_num_qubits_3,16.0,22.0,16.0,32.0,0.0,0.0,-0.04333806037902832,5.0
62,pyzx,50.0,3.0,default/qubits/i_8_num_qubits_3,38.0,32.0,8.0,46.0,0.0,0.0,-0.04111814498901367,6.0
63,default,50.0,3.0,default/qubits/i_9_num_qubits_3,53.0,42.0,13.0,66.0,0.0,0.0,-0.0447385311126709,18.0
64,tket,50.0,3.0,default/qubits/i_9_num_qubits_3,46.0,31.0,5.0,51.0,0.0,0.0,-0.043059349060058594,9.0
65,qiskit,50.0,3.0,default/qubits/i_9_num_qubits_3,53.0,42.0,13.0,66.0,0.0,0.0,-0.045197248458862305,18.0
66,tpar,50.0,3.0,default/qubits/i_9_num_qubits_3,69.0,57.0,5.0,74.0,0.0,0.0,-0.046669960021972656,38.0
67,voqc,50.0,3.0,default/qubits/i_9_num_qubits_3,72.0,54.0,5.0,77.0,0.0,0.0,-0.10107851028442383,16.0
68,qfast,50.0,3.0,default/qubits/i_9_num_qubits_3,31.0,35.0,20.0,51.0,0.0,0.0,-0.04527735710144043,8.0
69,pyzx,50.0,3.0,default/qubits/i_9_num_qubits_3,51.0,41.0,5.0,56.0,0.0,0.0,-0.041933536529541016,14.0
70,default,50.0,3.0,default/qubits/i_10_num_qubits_3,58.0,47.0,14.0,72.0,0.0,0.0,-0.10120248794555664,22.0
71,tket,50.0,3.0,default/qubits/i_10_num_qubits_3,55.0,43.0,9.0,64.0,0.0,0.0,-0.04453706741333008,15.0
72,qiskit,50.0,3.0,default/qubits/i_10_num_qubits_3,56.0,44.0,14.0,70.0,0.0,0.0,-0.04505729675292969,20.0
73,tpar,50.0,3.0,default/qubits/i_10_num_qubits_3,69.0,56.0,6.0,75.0,0.0,0.0,-0.0459132194519043,30.0
74,voqc,50.0,3.0,default/qubits/i_10_num_qubits_3,77.0,50.0,6.0,83.0,0.0,0.0,-0.04654574394226074,20.0
75,qfast,50.0,3.0,default/qubits/i_10_num_qubits_3,35.0,37.0,22.0,57.0,0.0,0.0,-0.046660423278808594,9.0
76,pyzx,50.0,3.0,default/qubits/i_10_num_qubits_3,62.0,50.0,6.0,68.0,0.0,0.0,-0.04307055473327637,18.0
77,default,50.0,3.0,default/qubits/i_11_num_qubits_3,70.0,45.0,14.0,84.0,0.0,0.0,-0.04569721221923828,9.0
78,tket,50.0,3.0,default/qubits/i_11_num_qubits_3,25.0,18.0,6.0,31.0,0.0,0.0,-0.0409398078918457,5.0
79,qiskit,50.0,3.0,default/qubits/i_11_num_qubits_3,68.0,42.0,14.0,82.0,0.0,0.0,-0.0458369255065918,7.0
80,tpar,50.0,3.0,default/qubits/i_11_num_qubits_3,53.0,35.0,6.0,59.0,0.0,0.0,-0.09916353225708008,11.0
